Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
2025-07-23 13:30:00+00:00,215.0,215.10000610351562,214.6199951171875,215.0449981689453,3211385
2025-07-23 13:31:00+00:00,214.8699951171875,214.9499969482422,214.44000244140625,214.9499969482422,353879
2025-07-23 13:32:00+00:00,214.60000610351562,214.8699951171875,214.5399932861328,214.8699951171875,264696
2025-07-23 13:33:00+00:00,214.1782989501953,214.68499755859375,214.13999938964844,214.60000610351562,283640
2025-07-23 13:34:00+00:00,214.51019287109375,214.52999877929688,213.89999389648438,214.16000366210938,445155
2025-07-23 13:35:00+00:00,214.38999938964844,214.61000061035156,214.3300018310547,214.50999450683594,249075
2025-07-23 13:36:00+00:00,214.3498992919922,214.4600067138672,214.2050018310547,214.40499877929688,147282
2025-07-23 13:37:00+00:00,214.27499389648438,214.38999938964844,214.25,214.35000610351562,116353
2025-07-23 13:38:00+00:00,214.47999572753906,214.49000549316406,214.27000427246094,214.27499389648438,142568
2025-07-23 13:39:00+00:00,214.16000366210938,214.4846954345703,214.10960388183594,214.47000122070312,138425
2025-07-23 13:40:00+00:00,213.81520080566406,214.3199005126953,213.80020141601562,214.15089416503906,357030
2025-07-23 13:41:00+00:00,213.64500427246094,213.89999389648438,213.625,213.8179931640625,223658
2025-07-23 13:42:00+00:00,213.40040588378906,213.64999389648438,213.25999450683594,213.64559936523438,261470
2025-07-23 13:43:00+00:00,213.4499969482422,213.63009643554688,213.39999389648438,213.39999389648438,204765
2025-07-23 13:44:00+00:00,213.5399932861328,213.65780639648438,213.3721923828125,213.46499633789062,205714
2025-07-23 13:45:00+00:00,213.1898956298828,213.1898956298828,213.1699981689453,213.18499755859375,235667
2025-07-23 13:46:00+00:00,212.9600067138672,213.17999267578125,212.86000061035156,213.08999633789062,285072
2025-07-23 13:47:00+00:00,212.79119873046875,212.9998016357422,212.79119873046875,212.97999572753906,210990
2025-07-23 13:48:00+00:00,212.9600067138672,212.97999572753906,212.64500427246094,212.79010009765625,254048
2025-07-23 13:49:00+00:00,212.64999389648438,212.97000122070312,212.6199951171875,212.9600067138672,199116
2025-07-23 13:50:00+00:00,212.8751983642578,212.94000244140625,212.50999450683594,212.64329528808594,240635
2025-07-23 13:51:00+00:00,213.031005859375,213.0749969482422,212.83900451660156,212.87030029296875,208768
2025-07-23 13:52:00+00:00,212.80099487304688,213.1199951171875,212.74000549316406,213.03500366210938,252337
2025-07-23 13:53:00+00:00,212.74000549316406,212.8300018310547,212.6300048828125,212.7996063232422,127162
2025-07-23 13:54:00+00:00,212.87559509277344,212.8800048828125,212.66000366210938,212.7449951171875,144341
2025-07-23 13:55:00+00:00,212.9250030517578,213.0,212.83999633789062,212.86000061035156,164331
2025-07-23 13:56:00+00:00,212.67959594726562,212.99000549316406,212.61000061035156,212.9250030517578,247167
2025-07-23 13:57:00+00:00,212.46029663085938,212.73500061035156,212.44000244140625,212.69000244140625,194722
2025-07-23 13:58:00+00:00,212.625,212.63560485839844,212.4199981689453,212.4705047607422,109877
2025-07-23 13:59:00+00:00,212.55999755859375,212.72000122070312,212.49000549316406,212.6300048828125,114258
2025-07-23 14:00:00+00:00,212.64300537109375,212.69000244140625,212.41000366210938,212.5500030517578,131515
2025-07-23 14:01:00+00:00,212.8300018310547,212.875,212.61000061035156,212.63499450683594,143408
2025-07-23 14:02:00+00:00,212.6898956298828,212.86000061035156,212.6699981689453,212.82960510253906,102952
2025-07-23 14:03:00+00:00,212.77000427246094,212.85499572753906,212.6300048828125,212.67999267578125,168383
